split,legacy_rich_valid_smiles_only_best_model,legacy_rich_valid_smiles_only_spearman,legacy_rich_valid_smiles_only_rmse,legacy_rich_all_drugs_zero_smiles_best_model,legacy_rich_all_drugs_zero_smiles_spearman,legacy_rich_all_drugs_zero_smiles_rmse,colonstyle_compact_baseline_best_model,colonstyle_compact_baseline_spearman,colonstyle_compact_baseline_rmse,valid_minus_zero_delta
drug_group_4fold,extratrees,0.7026204295963799,2.051174743685208,weighted_top3_ensemble,0.6111335408209572,2.0124697570423895,weighted_top3_ensemble,0.5634673512759879,2.1672842783864477,0.09148688877542277
random_4fold,weighted_top3_ensemble,0.8975836399661107,1.157505333395879,lightgbm,0.8154955617534568,1.3599360393462152,weighted_top3_ensemble,0.7856935581559357,1.4775310750620603,0.08208807821265385
scaffold_group_4fold,weighted_top3_ensemble,0.7161110393282839,2.0146918687378106,weighted_top3_ensemble,0.6030429555494069,2.0734571075087294,weighted_top3_ensemble,0.5522241372534832,2.1876172715496254,0.113068083778877
