split,legacy_rich_valid_smiles_only_best_model,legacy_rich_valid_smiles_only_spearman,legacy_rich_valid_smiles_only_rmse,legacy_rich_all_drugs_zero_smiles_best_model,legacy_rich_all_drugs_zero_smiles_spearman,legacy_rich_all_drugs_zero_smiles_rmse,colonstyle_compact_baseline_best_model,colonstyle_compact_baseline_spearman,colonstyle_compact_baseline_rmse,valid_minus_zero_delta
drug_group_4fold,weighted_top3_ensemble,0.5822699088271941,2.1715967013764215,weighted_top3_ensemble,0.544589691635128,2.1412515210682397,weighted_top3_ensemble,0.5417546483498612,2.1908983264142066,0.037680217192066046
random_4fold,lightgbm,0.889265603098694,1.0548596277003977,lightgbm,0.8395604033085502,1.209799644181585,lightgbm,0.8319505049757587,1.2229585608996965,0.04970519979014376
scaffold_group_4fold,weighted_top3_ensemble,0.5775226464184652,2.2475115472583926,weighted_top3_ensemble,0.5578066170686232,2.1527814748862184,weighted_top3_ensemble,0.507196952201394,2.284166535808119,0.019716029349841957
