split,legacy_rich_valid_smiles_only_best_model,legacy_rich_valid_smiles_only_spearman,legacy_rich_valid_smiles_only_rmse,legacy_rich_all_drugs_zero_smiles_best_model,legacy_rich_all_drugs_zero_smiles_spearman,legacy_rich_all_drugs_zero_smiles_rmse,colonstyle_compact_baseline_best_model,colonstyle_compact_baseline_spearman,colonstyle_compact_baseline_rmse,valid_minus_zero_delta
drug_group_4fold,weighted_top3_ensemble,0.6886517158135038,1.941479687289998,weighted_top3_ensemble,0.6099512909555209,1.9756558717501722,weighted_top3_ensemble,0.5869954129866627,2.054640736791105,0.0787004248579829
random_4fold,weighted_top3_ensemble,0.9052430530868688,1.0538061344675513,lightgbm,0.8132941781934185,1.2993506735634186,lightgbm,0.7780065860512138,1.4347685695735337,0.09194887489345027
scaffold_group_4fold,weighted_top3_ensemble,0.6529549740564397,2.1359402146562854,weighted_top3_ensemble,0.5735118247115648,2.0659909615258942,weighted_top3_ensemble,0.5141640823230877,2.171796399347721,0.07944314934487484
