split,legacy_rich_valid_smiles_only_best_model,legacy_rich_valid_smiles_only_spearman,legacy_rich_valid_smiles_only_rmse,legacy_rich_all_drugs_zero_smiles_best_model,legacy_rich_all_drugs_zero_smiles_spearman,legacy_rich_all_drugs_zero_smiles_rmse,colonstyle_compact_baseline_best_model,colonstyle_compact_baseline_spearman,colonstyle_compact_baseline_rmse,valid_minus_zero_delta
drug_group_4fold,weighted_top3_ensemble,0.7122775228817722,2.0121563778013893,weighted_top3_ensemble,0.6057997897530832,1.9565268226225783,weighted_top3_ensemble,0.5422154789548326,2.0793537150039745,0.10647773312868891
random_4fold,lightgbm,0.9126542420587028,1.0664941101770025,lightgbm,0.7987995952638253,1.3350077288114583,lightgbm,0.75389860566918,1.4743144365641028,0.11385464679487756
scaffold_group_4fold,weighted_top3_ensemble,0.7060637634478363,2.0374460646154637,weighted_top3_ensemble,0.5630640487652285,2.0223365645983544,weighted_top3_ensemble,0.5350865586829912,2.099432791447939,0.14299971468260775
